Model,Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,AvgTime
resnet,1.0000,0.7143,0.5143,0.2571,0.0213,0.0531,0.0549,0.0549,0.0025
mobilenet,1.0000,0.7143,0.5714,0.2857,0.0213,0.0425,0.0492,0.0492,0.0011
